         39231828 function calls (39227778 primitive calls) in 21.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2923810    5.244    0.000    8.834    0.000 geometry_python.py:59(is_point_in_polygon)
  2923810    2.855    0.000   12.316    0.000 sprite.py:1082(collides_with_point)
 14621047    2.194    0.000    2.194    0.000 {built-in method builtins.min}
      788    1.917    0.002   14.399    0.018 import arcade.py:597(move_enemies)
      997    1.687    0.002    1.689    0.002 {built-in method select.select}
  7702447    1.201    0.000    1.201    0.000 {built-in method builtins.max}
  2945528    0.470    0.000    0.690    0.000 sprite.py:404(get_adjusted_hit_box)
      788    0.358    0.000   17.010    0.022 import arcade.py:242(on_update)
   100131    0.301    0.000    0.821    0.000 sprite.py:1029(update)
    10859    0.275    0.000    0.291    0.000 geometry_python.py:13(are_polygons_intersecting)
   100131    0.239    0.000    0.407    0.000 sprite.py:324(position)
3041555/3037841    0.237    0.000    0.240    0.000 {built-in method builtins.len}
       30    0.226    0.008    0.226    0.008 {method 'decode' of 'ImagingDecoder' objects}
    48056    0.214    0.000    0.310    0.000 {method 'sort' of 'list' objects}
      787    0.185    0.000    0.185    0.000 xlib.py:370(flip)
   117942    0.155    0.000    0.257    0.000 lib.py:87(errcheck)
    55000    0.137    0.000    0.557    0.000 spatial_hash.py:227(_check_for_collision)
   162452    0.126    0.000    0.126    0.000 sprite.py:414(_adjust_point)
     7209    0.101    0.000    0.191    0.000 buffer.py:161(write)
   341935    0.097    0.000    0.097    0.000 sprite.py:665(center_x)
    82312    0.095    0.000    0.095    0.000 sprite_list.py:1044(update_location)
    10143    0.075    0.000    0.640    0.000 sprite_list.py:1139(draw)
118857/118848    0.073    0.000    0.114    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     9276    0.066    0.000    0.886    0.000 sprite_list.py:831(update)
   630117    0.062    0.000    0.062    0.000 import arcade.py:289(<lambda>)
    47132    0.060    0.000    0.108    0.000 import arcade.py:101(update_animation)
    84889    0.057    0.000    0.057    0.000 sprite.py:522(clear_spatial_hashes)
   197021    0.057    0.000    0.057    0.000 sprite.py:699(change_x)
    40389    0.056    0.000    0.182    0.000 sprite.py:425(<listcomp>)
     4310    0.055    0.000    0.084    0.000 vertex_array.py:207(render)
       39    0.053    0.001    0.054    0.001 vertexbuffer.py:216(map_range)
        1    0.048    0.048    0.082    0.082 xlib.py:50(match)
     4316    0.045    0.000    0.080    0.000 texture.py:367(filter)
   247666    0.043    0.000    0.043    0.000 sprite.py:682(center_y)
     1574    0.043    0.000    0.084    0.000 framebuffer.py:343(clear)
     1574    0.038    0.000    0.151    0.000 camera.py:64(update)
   110000    0.038    0.000    0.039    0.000 sprite.py:486(collision_radius)
     1279    0.037    0.000    0.595    0.000 spatial_hash.py:343(<listcomp>)
     1011    0.036    0.000    0.036    0.000 {method 'encode' of 'ImagingEncoder' objects}
       12    0.034    0.003    0.034    0.003 {method 'join' of 'bytes' objects}
     7228    0.033    0.000    0.055    0.000 utils.py:6(data_to_ctypes)
   102489    0.033    0.000    0.040    0.000 sprite.py:724(angle)
   311211    0.032    0.000    0.032    0.000 import arcade.py:282(<lambda>)
        1    0.032    0.032    0.032    0.032 {method 'convert' of 'ImagingCore' objects}
      192    0.031    0.000    0.032    0.000 xlib.py:187(__init__)
       19    0.030    0.002    0.031    0.002 texture.py:519(write)
     2363    0.030    0.000    0.061    0.000 framebuffer.py:584(_set_viewport)
3396/3321    0.029    0.000   18.691    0.006 event.py:368(dispatch_event)
        8    0.028    0.004    0.028    0.004 texture.py:179(_texture_2d)
     3148    0.027    0.000    0.049    0.000 math.py:943(__matmul__)
        1    0.027    0.027    0.027    0.027 __init__.py:442(_map)
   147552    0.027    0.000    0.027    0.000 sprite.py:314(position)
    53886    0.026    0.000    0.039    0.000 sprite_list.py:258(__iter__)
     8626    0.026    0.000    0.060    0.000 texture.py:620(use)
